word,counts,remove
qal,41,
quelqu'un,41,
retour,41,
tant,41,
évènements,41,
7rq,40,
7ry0,40,
antkabat,40,
astqbal,40,
ayh,40,
bsydy,40,
casse,40,
der,40,
fais,40,
force,40,
forget,40,
fort,40,
grande,40,
haddad,40,
hammamet,40,
journalists,40,
km,40,
l'avenue,40,
langue,40,
lldmw3,40,
lt,40,
m7awl0,40,
mam,40,
millions,40,
msaq,40,
msdr,40,
ouverte,40,
parce,40,
parlé,40,
proud,40,
sfaqs,40,
special,40,
street,40,
tl3t,40,
whad0,40,
www.bbc.co.uk,40,
zeinobia,40,
élections,40,
23optunisia,39,
3ndma,39,
7d,39,
7yn,39,
accounts,39,
alaunyn,39,
algerie,39,
ar,39,
av,39,
balle,39,
binzart,39,
byan,39,
canada,39,
channel,39,
disent,39,
dzira,39,
fil,39,
god,39,
house,39,
lkm,39,
montréal,39,
nzam,39,
shooting,39,
souabnithf,39,
soulèvement,39,
travail,39,
tunisie.html,39,
twytr,39,
und,39,
wfa0,39,
www.rue89,39,
ymkn,39,
24sur24,38,
3ammar,38,
abw,38,
alant7ar,38,
allhm,38,
alnwr,38,
alwaby,38,
appelle,38,
ayha,38,
bande,38,
bfmtv,38,
commencé,38,
continuer,38,
di,38,
dis,38,
donner,38,
française,38,
image,38,
interior,38,
join,38,
lacrymo,38,
majdikhan,38,
marie,38,
mis,38,
mohammed,38,
mwatn,38,
ns,38,
peaceful,38,
pm,38,
posterous.com,38,
public,38,
quelque,38,
s'il,38,
sparked,38,
tel,38,
wallh,38,
warning,38,
yjb,38,
yqwm,38,
23anonymous,37,
3lyha,37,
3mar,37,
3nyf0,37,
alerte,37,
aljm30,37,
amazing,37,
arrêtez,37,
awl,37,
colère,37,
combat,37,
communiqué,37,
dubai,37,
fini,37,
gaz,37,
gueule,37,
job,37,
ke,37,
libération,37,
lkl,37,
lma,37,
lu,37,
législatives,37,
officiel,37,
piece,37,
pillage,37,
protesting,37,
psycke,37,
qu'est,37,
rabbi,37,
route,37,
tdamna,37,
tué,37,
voilà,37,
wave,37,
wst,37,
y7du,37,
zinga_2,37,
événements,37,
7aj0,36,
7sb,36,
alfsad,36,
altwnsa,36,
alwtny,36,
arrest,36,
arrestation,36,
articles,36,
bad,36,
bourse,36,
bsbb,36,
censored,36,
claireinparis,36,
clash,36,
da,36,
donne,36,
entendu,36,
guerre,36,
immolation,36,
jan,36,
jilliancyork,36,
killing,36,
lebanon,36,
manifester,36,
mul,36,
opposition,36,
pic,36,
popular,36,
pouvez,36,
quitté,36,
remember,36,
rioters,36,
sra7,36,
surtout,36,
syad0,36,
tiny,36,
titre,36,
tunisiefree,36,
téléphone,36,
wa,36,
7kwm0,35,
al7km,35,
ala7d,35,
aljdyd,35,
almdyn0,35,
altgyyr,35,
altwnsywn,35,
anticipées,35,
avenue,35,
bech,35,
bs,35,
burning,35,
called,35,
car,35,
choses,35,
cities,35,
comptes,35,
dagbagi,35,
emplois,35,
fighting,35,
fr3,35,
fuite,35,
jt,35,
kbyr,35,
llw3b,35,
lmsand0,35,
ly,35,
main,35,
malgré,35,
mat,35,
matri,35,
means,35,
mimouna,35,
months,35,
palestine,35,
qt3,35,
qtla,35,
sociaux,35,
supporting,35,
syria,35,
t'as,35,
tf1,35,
ur,35,
a7tjajy0,34,
ago,34,
aldwl,34,
alkarjy0,34,
alkmys,34,
alsba7,34,
blackout,34,
brik,34,
c6vuufj,34,
coeur,34,
demander,34,
fqt,34,
fwq,34,
gadr,34,
game,34,
greve,34,
hamadi,34,
kram,34,
looting,34,
lé,34,
militaires,34,
ministry,34,
nwr,34,
operation,34,
parole,34,
picture,34,
rgm,34,
rise,34,
réponse,34,
sinon,34,
today's,34,
town,34,
words,34,
yjry,34,
3wan,33,
ahl,33,
ala7tjaj,33,
alantrnt,33,
almwajhat,33,
alrqab,33,
alzlm,33,
barra,33,
barys,33,
c'était,33,
civils,33,
coté,33,
crackdown,33,
faysbwk,33,
internationale,33,
juger,33,
kamel,33,
kill,33,
mafieu,33,
mass,33,
med,33,
mstwfa,33,
normal,33,
pro,33,
protestas,33,
qik.com,33,
revolte,33,
rip,33,
sait,33,
sarah81m,33,
solution,33,
step,33,
sucrecanl,33,
tawa,33,
tirent,33,
vid,33,
walla,33,
wan,33,
y3ny,33,
3lyna,32,
a3tsam,32,
abt,32,
alansan,32,
almdwnyn,32,
alsfar0,32,
altjm3,32,
altrablsy,32,
altwans0,32,
alw3by0,32,
ariana,32,
asab0,32,
aur,32,
bday0,32,
bonjour,32,
dies,32,
effect,32,
fake,32,
femmes,32,
frédéric,32,
gda,32,
habitants,32,
hamma,32,
inspiring,32,
jbnyan0,32,
kassrin,32,
lljzyr0,32,
naddo_o,32,
nouveaux,32,
problème,32,
qlyl,32,
rappel,32,
regardez,32,
tqwl,32,
tumblr.com,32,
union,32,
w3by,32,
www.diigo.com,32,
wyq,32,
yaminameshri,32,
za3ma,32,
14h,31,
a3tqal,31,
activism,31,
adrab,31,
alliot,31,
alm7amy,31,
almzahrat,31,
alrjaq,31,
alwd3,31,
arabia,31,
arabs,31,
arrêtés,31,
atmna,31,
beb,31,
blogs,31,
chaque,31,
civilians,31,
comprendre,31,
continuent,31,
courant,31,
dictateurs,31,
enfants,31,
hacking,31,
hna,31,
jnaz0,31,
jryd0,31,
lci,31,
lhm,31,
lsydy,31,
minute,31,
montreal,31,
n'ont,31,
nom,31,
nombre,31,
north,31,
opinion,31,
palais,31,
paroles,31,
petit,31,
politics,31,
prime,31,
pris,31,
propose,31,
regarde,31,
riot,31,
sais,31,
setting,31,
sit,31,
spreading,31,
st,31,
t7y0,31,
test,31,
tkwn,31,
total,31,
user,31,
voices,31,
w3by0,31,
wa7d0,31,
win,31,
ynayr,31,
alktab,30,
alm3ard0,30,
